Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",3444,1641,1803,442,157,214,191,128,480,382,450,242,323,292,107,36,2797,647,2151,111,23,82,0,430,0,0,12,44,2403,1041
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",5154,2572,2582,147,231,268,352,398,965,704,785,241,285,389,352,37,4855,299,3665,14,13,67,0,1096,0,87,0,9,4150,1004
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",4428,2070,2358,227,216,301,276,177,603,609,732,327,325,484,130,21,3984,444,2801,189,0,372,0,622,25,10,25,0,2685,1743
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",5214,2419,2795,142,312,427,409,211,622,884,821,231,354,450,246,105,4959,255,3152,204,182,428,38,955,28,29,123,0,3558,1656
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",3712,1859,1853,150,132,321,297,185,447,577,646,311,192,272,136,46,3412,300,2465,182,28,275,2,460,0,0,0,0,2721,991
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",6575,3150,3425,489,534,614,502,634,762,887,616,486,441,431,52,127,6185,390,4085,165,60,660,0,1215,0,0,27,0,5416,1159
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",3486,1766,1720,186,194,290,244,187,460,571,462,198,253,243,134,64,3319,167,2605,52,12,8,54,588,9,0,4,0,3060,426
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",4404,2230,2174,297,312,342,199,377,518,641,685,435,158,309,131,0,4035,369,2628,294,0,57,0,1056,0,25,140,0,3318,1086
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",6288,3136,3152,445,348,338,278,596,1046,735,642,750,295,547,170,98,5436,852,3818,146,37,439,0,996,11,105,4,46,4367,1921
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",2618,1193,1425,108,243,228,197,183,328,260,414,108,121,166,125,137,2488,130,1928,212,4,120,0,224,0,35,0,0,1977,641
