Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037460101,"Census Tract 4601.01, Los Angeles County, California",5507,2814,2969,1719,193,67,187,27,776,24.9,136348,212586
1400000US06037460200,"Census Tract 4602, Los Angeles County, California",4443,2428,2604,2111,28,132,65,29,239,33.7,99223,148698
1400000US06037460301,"Census Tract 4603.01, Los Angeles County, California",3546,1881,2275,1672,191,131,0,11,270,31.5,130438,165168
1400000US06037460302,"Census Tract 4603.02, Los Angeles County, California",3612,2015,2061,1454,154,281,12,36,124,30.8,68615,86268
1400000US06037460401,"Census Tract 4604.01, Los Angeles County, California",881,458,581,443,21,49,3,18,47,33.2,92917,129690
1400000US06037460501,"Census Tract 4605.01, Los Angeles County, California",4163,2042,2181,1652,154,36,24,10,305,28.5,180417,264136
1400000US06037460502,"Census Tract 4605.02, Los Angeles County, California",3458,1768,2183,1600,109,25,66,34,349,25,216750,267851
1400000US06037460601,"Census Tract 4606.01, Los Angeles County, California",4342,2248,2509,1873,204,40,30,33,329,29.7,144618,217643
1400000US06037460700,"Census Tract 4607, Los Angeles County, California",3590,1863,1827,1350,204,0,17,34,222,27.7,160565,291259
1400000US06037460800,"Census Tract 4608, Los Angeles County, California",2363,1151,1294,945,55,0,44,20,230,28.5,221375,346992
1400000US06037460900,"Census Tract 4609, Los Angeles County, California",5321,2813,3203,2456,174,179,49,103,242,27.2,78643,87623
1400000US06037461000,"Census Tract 4610, Los Angeles County, California",4601,2496,2753,2281,157,80,7,118,110,29.8,103866,114792
1400000US06037461100,"Census Tract 4611, Los Angeles County, California",4346,2425,2622,1912,207,120,111,65,207,25.1,99511,115758
1400000US06037461200,"Census Tract 4612, Los Angeles County, California",3865,2121,2238,1799,107,31,10,65,226,31.7,151375,172165
1400000US06037461300,"Census Tract 4613, Los Angeles County, California",5418,2956,2989,2427,217,14,50,35,246,29.9,78030,126167
1400000US06037461400,"Census Tract 4614, Los Angeles County, California",2463,1317,1491,1047,76,38,83,42,205,27.1,67399,101939
1400000US06037461501,"Census Tract 4615.01, Los Angeles County, California",3106,1619,1943,1505,199,60,19,65,95,29,77114,98410
1400000US06037461502,"Census Tract 4615.02, Los Angeles County, California",5340,2866,2426,1668,174,170,42,165,207,29.8,55590,65384
1400000US06037461600,"Census Tract 4616, Los Angeles County, California",4894,2542,3007,2425,127,122,132,79,122,23.3,80231,95887
1400000US06037461700,"Census Tract 4617, Los Angeles County, California",1291,715,706,497,10,35,2,23,139,29.8,137321,189949
1400000US06037461901,"Census Tract 4619.01, Los Angeles County, California",3979,2125,2424,1197,270,335,133,395,94,28.2,49583,67656
1400000US06037461902,"Census Tract 4619.02, Los Angeles County, California",1741,976,865,487,47,124,41,2,164,25.9,36409,60090
1400000US06037462001,"Census Tract 4620.01, Los Angeles County, California",3461,1833,2205,1459,187,359,30,121,49,38.8,72250,80963
1400000US06037462002,"Census Tract 4620.02, Los Angeles County, California",2910,1698,1763,1173,250,151,27,151,11,31.8,29397,54520
1400000US06037462100,"Census Tract 4621, Los Angeles County, California",4557,2556,2751,1596,168,205,120,220,442,29,64459,97000
1400000US06037462201,"Census Tract 4622.01, Los Angeles County, California",3334,1836,1870,1145,73,154,62,104,332,26.5,39851,62826
1400000US06037462202,"Census Tract 4622.02, Los Angeles County, California",2718,1428,1633,861,106,161,159,29,317,29.9,83813,109987
1400000US06037462301,"Census Tract 4623.01, Los Angeles County, California",4190,2351,2693,1964,227,114,82,138,168,27.3,63583,73364
1400000US06037462302,"Census Tract 4623.02, Los Angeles County, California",3020,1300,2128,1260,169,83,155,118,343,26.9,74931,103422
1400000US06037462400,"Census Tract 4624, Los Angeles County, California",3318,1776,2140,1414,179,72,96,61,318,25.2,92500,124848
1400000US06037462500,"Census Tract 4625, Los Angeles County, California",5262,2992,2999,2322,320,130,42,23,162,29.4,95833,125402
1400000US06037462600,"Census Tract 4626, Los Angeles County, California",1816,929,1021,793,56,30,0,19,123,31.4,124438,190551
1400000US06037462700,"Census Tract 4627, Los Angeles County, California",4570,2075,3166,2065,190,217,152,230,312,27.9,68500,99108
1400000US06037462800,"Census Tract 4628, Los Angeles County, California",2258,1229,1670,987,179,156,0,40,308,24.2,86955,105972
1400000US06037462900,"Census Tract 4629, Los Angeles County, California",3094,1347,1711,1237,127,79,32,28,208,32.3,104596,121465
1400000US06037463000,"Census Tract 4630, Los Angeles County, California",2372,1203,1465,1027,103,34,20,33,248,27,109223,164555
1400000US06037463103,"Census Tract 4631.03, Los Angeles County, California",4933,2442,2884,2236,267,71,17,59,234,30.2,90923,127771
1400000US06037463200,"Census Tract 4632, Los Angeles County, California",3183,1700,1916,1267,187,90,86,0,286,34,98300,136926
1400000US06037463300,"Census Tract 4633, Los Angeles County, California",1800,824,1211,910,38,28,18,43,174,29.2,102821,145762
1400000US06037463400,"Census Tract 4634, Los Angeles County, California",5094,2476,3435,2369,131,106,111,88,630,32.6,99159,130620
1400000US06037463500,"Census Tract 4635, Los Angeles County, California",5388,2770,3463,1435,157,127,1089,144,511,25.8,84464,122065
1400000US06037463601,"Census Tract 4636.01, Los Angeles County, California",5484,3051,3678,2437,255,150,378,81,377,26,81655,92909
1400000US06037463602,"Census Tract 4636.02, Los Angeles County, California",5727,3149,3854,2493,60,372,332,123,474,30.8,95094,115082
1400000US06037463700,"Census Tract 4637, Los Angeles County, California",2845,1491,1859,1051,0,200,134,73,401,30.2,145638,187523
1400000US06037463800,"Census Tract 4638, Los Angeles County, California",3109,1523,1984,1451,109,18,0,31,375,26.9,168500,226826
1400000US06037463900,"Census Tract 4639, Los Angeles County, California",2905,1640,1380,906,103,6,37,54,274,27.5,112188,168628
1400000US06037464000,"Census Tract 4640, Los Angeles County, California",4727,2385,3011,2027,51,95,126,225,487,27.7,118110,173792
1400000US06037464101,"Census Tract 4641.01, Los Angeles County, California",1852,974,989,765,57,0,19,0,148,22.8,175294,237414
1400000US06037464102,"Census Tract 4641.02, Los Angeles County, California",3857,1834,1885,1264,49,194,17,0,361,28.4,179398,273574
1400000US06037464200,"Census Tract 4642, Los Angeles County, California",4690,2426,2560,1807,339,31,12,10,361,34.4,141725,200226
1400000US06037480002,"Census Tract 4800.02, Los Angeles County, California",3369,1668,1635,1307,138,8,16,7,159,37.5,117182,145894
1400000US06037480011,"Census Tract 4800.11, Los Angeles County, California",3992,1969,2523,2035,122,63,113,69,121,26.7,64592,84306
1400000US06037480012,"Census Tract 4800.12, Los Angeles County, California",3874,2192,2268,1735,269,134,0,37,93,36.4,86058,115512
1400000US06037480101,"Census Tract 4801.01, Los Angeles County, California",3261,1776,1695,1203,217,37,23,90,125,32.4,86639,109678
1400000US06037480102,"Census Tract 4801.02, Los Angeles County, California",3735,1934,2059,1768,172,0,18,7,94,31.6,87543,115336
1400000US06037480201,"Census Tract 4802.01, Los Angeles County, California",3083,1621,1715,1224,119,38,22,26,286,32.4,122455,166355
1400000US06037480202,"Census Tract 4802.02, Los Angeles County, California",2218,1185,1299,1118,52,10,0,22,97,27.7,87778,130766
1400000US06037480302,"Census Tract 4803.02, Los Angeles County, California",3764,1924,2400,1997,176,37,18,39,133,30.4,80943,111149
1400000US06037480303,"Census Tract 4803.03, Los Angeles County, California",3808,1933,2344,1994,75,45,27,13,190,32.8,70938,77945
1400000US06037480304,"Census Tract 4803.04, Los Angeles County, California",3972,2257,2445,1759,306,81,90,21,188,32.5,55927,80619
1400000US06037480400,"Census Tract 4804, Los Angeles County, California",4658,2557,2603,2010,225,99,56,0,213,28.9,66809,116594
1400000US06037480500,"Census Tract 4805, Los Angeles County, California",4375,2197,2929,2267,126,111,66,46,313,31.6,125061,199162
1400000US06037480601,"Census Tract 4806.01, Los Angeles County, California",2850,1585,1983,1335,151,96,141,118,142,33.1,82138,116609
1400000US06037480602,"Census Tract 4806.02, Los Angeles County, California",3338,1708,2296,1451,30,269,0,179,367,33.1,130071,157612
1400000US06037480702,"Census Tract 4807.02, Los Angeles County, California",3226,1614,2061,1507,100,152,0,58,244,35.2,170541,222967
1400000US06037480703,"Census Tract 4807.03, Los Angeles County, California",3115,1687,2119,1604,120,42,28,40,285,34.2,136875,195426
1400000US06037480704,"Census Tract 4807.04, Los Angeles County, California",3243,1734,2276,1709,168,62,73,44,220,30.6,97818,117091
1400000US06037480802,"Census Tract 4808.02, Los Angeles County, California",2904,1457,1551,1195,118,98,41,22,77,31,72368,81781
1400000US06037480803,"Census Tract 4808.03, Los Angeles County, California",2876,1488,1795,1278,235,33,26,54,169,33.9,81034,94550
1400000US06037480804,"Census Tract 4808.04, Los Angeles County, California",4376,2454,2721,2131,194,99,103,147,47,31.7,72188,88035
1400000US06037480901,"Census Tract 4809.01, Los Angeles County, California",4301,2419,2546,1996,248,126,5,16,155,26.8,66085,77534
1400000US06037480902,"Census Tract 4809.02, Los Angeles County, California",3570,1810,2100,1794,121,78,19,15,73,29.4,47981,58364
1400000US06037480903,"Census Tract 4809.03, Los Angeles County, California",2669,1347,1524,1075,199,86,0,11,153,29.9,62375,78324
1400000US06037481001,"Census Tract 4810.01, Los Angeles County, California",4246,2137,2013,1329,131,75,255,42,181,30.4,63159,80222
1400000US06037481002,"Census Tract 4810.02, Los Angeles County, California",4426,2050,2747,1830,476,78,0,49,314,29.7,71957,85565
1400000US06037481101,"Census Tract 4811.01, Los Angeles County, California",3760,2277,2191,1699,166,90,93,76,67,34.7,70781,83580
1400000US06037481102,"Census Tract 4811.02, Los Angeles County, California",2956,1572,1648,1353,162,59,0,47,27,31,63625,98443
1400000US06037481103,"Census Tract 4811.03, Los Angeles County, California",4614,2350,2770,2101,242,163,8,115,141,31.3,71706,87570
1400000US06037481201,"Census Tract 4812.01, Los Angeles County, California",3262,1808,1782,1331,211,85,7,54,94,31,79423,80121
1400000US06037481203,"Census Tract 4812.03, Los Angeles County, California",5243,2625,3160,2401,415,98,0,24,222,34.2,66863,81062
1400000US06037481300,"Census Tract 4813, Los Angeles County, California",2730,1311,1502,1172,155,47,9,1,118,33.5,65300,87679
1400000US06037481401,"Census Tract 4814.01, Los Angeles County, California",4782,2625,2885,2275,389,84,92,18,27,29.8,60365,76403
1400000US06037481403,"Census Tract 4814.03, Los Angeles County, California",2766,1488,1475,1182,138,48,0,15,92,24.2,44960,71392
1400000US06037481404,"Census Tract 4814.04, Los Angeles County, California",3315,1697,1944,1268,367,160,33,0,116,29.9,73846,90933
1400000US06037481500,"Census Tract 4815, Los Angeles County, California",4047,2159,2115,1796,164,47,11,0,97,39.8,66341,85601
1400000US06037481603,"Census Tract 4816.03, Los Angeles County, California",2626,1353,1627,1253,207,48,51,42,26,28.8,49482,70650
1400000US06037481604,"Census Tract 4816.04, Los Angeles County, California",3264,1811,1967,1413,251,106,70,9,118,31.1,58438,78963
1400000US06037481605,"Census Tract 4816.05, Los Angeles County, California",2431,1190,1593,1133,305,23,12,17,103,27.7,69500,87945
1400000US06037481606,"Census Tract 4816.06, Los Angeles County, California",4320,2139,2495,1875,261,96,17,14,232,30.1,59040,75484
1400000US06037481711,"Census Tract 4817.11, Los Angeles County, California",3740,1888,1811,1373,236,46,31,12,113,32.7,50777,57861
1400000US06037481712,"Census Tract 4817.12, Los Angeles County, California",4721,2594,2557,1831,465,44,97,20,100,27.3,46375,62663
1400000US06037481713,"Census Tract 4817.13, Los Angeles County, California",2337,1110,1341,1007,167,22,11,0,134,28,63365,86183
1400000US06037481714,"Census Tract 4817.14, Los Angeles County, California",2375,1341,1085,755,171,16,51,16,76,27.7,40761,57449
1400000US06037481800,"Census Tract 4818, Los Angeles County, California",2161,1118,1225,863,200,26,11,14,111,31.7,99107,116332
1400000US06037481901,"Census Tract 4819.01, Los Angeles County, California",4667,2353,2816,2332,223,101,17,23,120,28.7,87303,104205
1400000US06037481902,"Census Tract 4819.02, Los Angeles County, California",2658,1368,1509,1081,226,55,32,6,109,36.1,66226,81884
1400000US06037482001,"Census Tract 4820.01, Los Angeles County, California",2355,1200,1015,747,158,6,9,24,71,32.9,89890,114304
1400000US06037482002,"Census Tract 4820.02, Los Angeles County, California",5644,2979,3021,2103,323,59,0,17,519,31.4,75013,101331
1400000US06037482101,"Census Tract 4821.01, Los Angeles County, California",3803,1825,2129,1707,133,46,0,112,131,29.1,63083,88570
1400000US06037482102,"Census Tract 4821.02, Los Angeles County, California",2534,1481,1344,995,209,36,11,0,93,35.9,90833,108743
1400000US06037482201,"Census Tract 4822.01, Los Angeles County, California",3332,1795,1606,1420,94,7,7,10,68,30.2,45042,63706
